Automation Partners Inc.  Yield Control System
        Started:	2022-01-06      	  Frame:	ARK-Win7-4GB    	  Shift:	               
           User:	Supervisor      	    Lot:	CANTON SOUL 1.6.	  Style:	CANTON
Raw Report file:	C:\Reports\Raw\CANTON SOUL 1.6.22.txt
===============================================================================================
        	  Entry			  EXIT
    Time	  Yards	    CPI	    YPM	  Yards	    CPI	    YPM	  OFEED	 TARGET	  Mode	    GSM
22:16:56	    6.1	 39.900	  0.000	    6.0	 45.509	  0.000	  4.37	     _	Manual
22:17:12	      _	      _	      _	    7.4	 45.509	  0.000	      _	     _	Manual
22:17:28	      _	      _	      _	    8.9	 45.509	  5.565	      _	     _	Manual
22:17:44	      _	      _	      _	   10.4	 45.509	  5.558	      _	     _	Manual
22:17:58	      _	      _	      _	   11.7	 45.509	  5.558	      _	     _	Manual
22:18:10	      _	      _	      _	   13.5	 45.509	  6.341	      _	     _	Manual
22:18:16	      _	      _	      _	   15.2	 45.509	 10.116	      _	     _	Manual
22:18:20	   17.1	 39.900	 19.132	   16.4	 45.509	 14.456	  4.37	     _	Manual
22:18:38	   21.8	 39.900	 15.692	   20.9	 45.509	 16.836	  4.37	     _	Manual
22:18:44	      _	      _	      _	   22.5	 39.508	 16.241	      _	     _	Manual
22:18:48	      _	      _	      _	   23.5	 39.508	 15.092	      _	     _	Manual
22:18:54	   26.0	 43.346	 15.694	   25.0	 40.299	 15.091	  4.37	     _	Manual
22:18:58	   27.0	 43.373	 15.691	   26.0	 40.299	 15.095	  4.37	     _	Manual
22:19:04	   28.6	 43.118	 15.692	   27.5	 40.299	 15.059	  4.37	     _	Manual
22:19:14	   31.3	 43.219	 15.691	   30.0	 40.299	 15.040	  4.37	     _	Manual
22:19:20	   32.8	 43.058	 15.691	   31.5	 43.691	 15.028	  0.22	     _	Manual
22:19:26	   34.4	 43.058	 15.690	   33.0	 43.679	 15.088	  4.23	     _	Manual
22:19:32	   35.9	 43.058	 15.696	   34.5	 43.679	 15.143	  4.23	     _	Manual
22:19:38	   37.5	 43.058	 15.696	   36.0	 43.679	 15.163	  4.23	     _	Manual
22:19:52	      _	      _	      _	   39.6	 43.679	 15.149	      _	     _	Manual
22:19:58	      _	      _	      _	   41.1	 40.671	 15.159	      _	     _	Manual
22:20:04	   44.6	 43.058	 15.699	   42.8	 40.671	 15.788	  4.23	     _	Manual
22:20:08	      _	      _	      _	   44.3	 40.671	 17.372	      _	     _	Manual
22:20:20	   50.1	 43.058	 20.823	   48.2	 40.671	 19.000	  4.23	     _	Manual
22:20:24	   51.5	 43.058	 20.875	   49.6	 43.915	 19.000	  4.23	     _	Manual
22:20:30	   53.5	 43.058	 20.875	   51.6	 44.115	 20.099	  4.23	     _	Manual
22:20:34	   55.0	 43.058	 20.871	   52.9	 43.954	 20.086	  4.23	     _	Manual
22:20:40	   57.0	 43.058	 20.872	   54.9	 43.885	 20.095	  4.23	     _	Manual
22:20:44	   58.4	 43.058	 20.874	   56.2	 44.154	 20.098	  4.23	     _	Manual
22:20:50	   60.5	 43.058	 20.873	   58.2	 44.093	 20.110	  4.23	     _	Manual
22:20:54	   61.9	 43.058	 20.874	   59.6	 44.288	 20.120	  4.23	     _	Manual
22:21:00	   64.0	 43.058	 20.877	   61.6	 44.331	 20.142	  4.23	     _	Manual
22:21:04	   65.4	 43.058	 20.881	   62.9	 44.568	 20.145	  4.23	     _	Manual
22:21:08	   66.8	 43.058	 20.880	   64.3	 44.717	 20.145	  4.23	     _	Manual
22:21:14	   68.9	 43.058	 20.855	   66.3	 44.710	 20.120	  4.23	     _	Manual
22:21:18	   70.3	 43.058	 20.837	   67.6	 44.737	 20.118	  4.23	     _	Manual
22:21:24	      _	      _	      _	   69.6	 45.082	 20.103	      _	     _	Manual
22:21:28	      _	      _	      _	   71.0	 44.967	 20.094	      _	     _	Manual
22:21:34	   75.9	 44.786	 20.836	   73.0	 44.862	 20.084	  4.23	     _	Manual
22:21:38	   77.3	 44.708	 20.858	   74.3	 44.938	 20.083	  3.84	     _	Manual
22:21:44	   79.3	 44.708	 20.876	   76.3	 44.855	 20.081	  3.84	     _	Manual
22:21:48	   80.6	 44.708	 20.871	   77.7	 44.490	 20.075	  3.84	     _	Manual
22:21:52	   82.1	 44.708	 20.866	   79.1	 44.700	 20.075	  3.84	     _	Manual
22:21:58	      _	      _	      _	   81.0	 44.672	 20.051	      _	     _	Manual
22:22:02	   85.5	 34.922	 20.858	   82.4	 44.603	 20.051	  3.92	     _	Manual
