Automation Partners Inc.  Yield Control System
        Started:	2022-01-04      	  Frame:	ARK-Win7-4GB    	  Shift:	1              
           User:	Supervisor      	    Lot:	PROVIDENCE 1.4.2	  Style:	PROVIDENCE
Raw Report file:	C:\Reports\Raw\PROVIDENCE 1.4.22.txt
===============================================================================================
        	  Entry			  EXIT
    Time	  Yards	    CPI	    YPM	  Yards	    CPI	    YPM	  OFEED	 TARGET	  Mode	    GSM
10:47:26	    1.6	 45.617	 47.798	    1.5	 49.165	 45.450	  5.28	  48.00	  AUTO
10:47:28	      _	      _	      _	    3.1	 49.198	 45.450	      _	  48.00	  AUTO
10:47:32	    6.4	 45.456	 47.828	    6.1	 49.385	 45.446	  5.20	  48.00	  AUTO
10:47:34	      _	      _	      _	    7.7	 49.171	 45.446	      _	  48.00	  AUTO
10:47:38	   11.1	 45.535	 47.850	   10.6	 49.192	 45.401	  5.24	  48.00	  AUTO
10:47:42	   14.4	 45.701	 47.831	   13.6	 48.926	 45.389	  5.31	  48.00	  AUTO
10:47:44	   15.9	 45.950	 47.834	   15.1	 48.981	 45.395	  5.36	  48.00	  AUTO
10:47:48	   19.1	 46.286	 47.814	   18.2	 48.959	 45.410	  5.38	  48.00	  AUTO
10:47:50	   20.8	 45.872	 47.823	   19.7	 49.081	 45.415	  5.35	  48.00	  AUTO
10:47:54	   23.9	 45.906	 47.792	   22.7	 50.045	 45.401	  5.32	  48.00	  AUTO
10:47:56	   25.5	 45.885	 47.807	   24.2	 49.239	 45.390	  5.29	  48.00	  AUTO
10:48:00	   28.6	 45.949	 47.792	   27.3	 49.266	 45.400	  5.30	  48.00	  AUTO
10:48:02	   30.3	 45.824	 47.806	   28.8	 49.941	 45.400	  5.29	  48.00	  AUTO
10:48:06	   33.4	 45.955	 47.801	   31.8	 49.306	 45.439	  5.30	  48.00	  AUTO
10:48:10	   36.6	 45.670	 47.804	   34.8	 49.350	 45.440	  5.27	  48.00	  AUTO
10:48:12	   38.1	 45.533	 47.807	   36.3	 49.329	 45.449	  5.27	  48.00	  AUTO
10:48:16	   41.4	 45.630	 47.812	   39.4	 49.941	 45.448	  5.21	  48.00	  AUTO
10:48:18	   43.0	 45.466	 47.828	   40.9	 49.230	 45.401	  5.21	  48.00	  AUTO
10:48:22	   46.1	 45.526	 47.851	   43.9	 49.374	 45.377	  5.26	  48.00	  AUTO
10:48:24	   47.8	 45.465	 47.850	   45.4	 49.402	 45.432	  5.26	  48.00	  AUTO
10:48:28	   50.9	 45.564	 47.880	   48.5	 49.218	 45.504	  5.37	  48.00	  AUTO
10:48:30	   52.5	 45.844	 47.846	   50.0	 49.113	 45.542	  5.37	  48.00	  AUTO
10:48:34	   55.8	 45.779	 47.867	   53.0	 49.261	 45.498	  5.18	  48.00	  AUTO
10:48:36	   57.3	 46.131	 47.832	   54.6	 49.280	 45.498	  5.18	  48.00	  AUTO
10:48:40	   60.5	 46.138	 47.817	   57.5	 49.177	 45.442	  5.12	  48.00	  AUTO
10:48:44	   64.0	 45.974	 47.799	   60.6	 48.922	 45.447	  5.14	  48.00	  AUTO
10:48:46	   65.4	 45.829	 47.768	   62.1	 49.067	 45.446	  5.14	  48.00	  AUTO
10:48:50	   68.5	 45.050	 47.787	   65.1	 49.164	 45.476	  5.15	  48.00	  AUTO
10:48:52	   70.1	 45.362	 47.780	   66.6	 49.206	 45.470	  5.15	  48.00	  AUTO
10:48:56	   73.6	 45.117	 47.808	   69.7	 49.235	 45.478	  5.12	  48.00	  AUTO
10:48:58	   74.9	 45.404	 47.824	   71.2	 49.188	 45.486	  5.12	  48.00	  AUTO
10:49:02	   78.1	 45.788	 47.841	   74.2	 49.289	 45.476	  5.16	  48.00	  AUTO
10:49:04	   79.6	 45.497	 47.857	   75.8	 49.224	 45.489	  5.16	  48.00	  AUTO
10:49:08	   82.9	 45.931	 47.864	   78.8	 49.108	 45.472	  5.21	  48.00	  AUTO
10:49:10	   84.5	 45.996	 47.849	   80.4	 49.088	 45.472	  5.21	  48.00	  AUTO
10:49:14	   87.6	 45.921	 47.849	   83.3	 49.112	 45.438	  5.22	  48.00	  AUTO
10:49:18	   90.9	 45.730	 47.808	   86.3	 48.946	 45.423	  5.22	  48.00	  AUTO
10:49:20	      _	      _	      _	   87.9	 48.905	 45.463	      _	  48.00	  AUTO
10:49:24	   95.6	 45.215	 47.782	   90.9	 49.081	 45.471	  5.18	  48.00	  AUTO
10:49:26	      _	      _	      _	   92.4	 49.007	 45.485	      _	  48.00	  AUTO
10:49:30	  100.4	 45.845	 47.779	   95.4	 48.971	 45.483	  5.08	  48.00	  AUTO
10:49:32	      _	      _	      _	   97.0	 49.224	 45.472	      _	  48.00	  AUTO
10:49:36	  105.1	 45.624	 47.833	  100.0	 49.019	 45.475	  5.10	  48.00	  AUTO
10:49:38	      _	      _	      _	  101.5	 49.172	 45.454	      _	  48.00	  AUTO
10:49:42	  109.9	 45.839	 47.855	  104.5	 49.118	 45.463	  5.19	  48.00	  AUTO
10:49:44	      _	      _	      _	  106.2	 49.230	 45.463	      _	  48.00	  AUTO
10:49:48	  114.8	 45.704	 47.830	  109.1	 49.112	 45.442	  5.28	  48.00	  AUTO
10:49:52	  117.9	 45.925	 47.821	  112.1	 49.108	 45.422	  5.26	  48.00	  AUTO
10:49:54	  119.5	 45.785	 47.812	  113.6	 49.062	 45.395	  5.27	  48.00	  AUTO
10:49:58	  122.6	 45.747	 47.797	  116.6	 48.966	 45.384	  5.29	  48.00	  AUTO
10:50:00	  124.3	 45.641	 47.798	  118.2	 48.994	 45.372	  5.31	  48.00	  AUTO
10:50:04	  127.5	 45.802	 47.756	  121.2	 48.954	 45.379	  5.33	  48.00	  AUTO
10:50:06	  129.0	 45.403	 47.790	  122.7	 49.016	 45.360	  5.30	  48.00	  AUTO
10:50:10	  132.3	 45.310	 47.774	  125.7	 49.308	 45.367	  5.31	  48.00	  AUTO
10:50:12	  133.9	 45.705	 47.834	  127.2	 49.253	 45.338	  5.30	  48.00	  AUTO
10:50:16	  137.0	 45.403	 47.830	  130.3	 49.261	 45.366	  5.39	  48.00	  AUTO
10:50:18	  138.5	 45.573	 47.849	  131.9	 49.277	 45.366	  5.41	  48.00	  AUTO
10:50:22	  141.8	 45.752	 47.837	  134.8	 49.432	 45.375	  5.47	  48.00	  AUTO
10:50:26	  145.0	 46.095	 47.837	  137.8	 49.302	 45.341	  5.45	  48.00	  AUTO
10:50:28	  146.5	 46.016	 47.829	  139.3	 49.324	 45.359	  5.45	  48.00	  AUTO
10:50:32	  149.8	 45.955	 47.812	  142.4	 49.043	 45.351	  5.45	  48.00	  AUTO
10:50:34	  151.4	 45.908	 47.779	  143.9	 49.162	 45.334	  5.45	  48.00	  AUTO
10:50:38	  154.5	 45.566	 47.765	  146.9	 49.148	 45.330	  5.40	  48.00	  AUTO
10:50:40	  156.1	 45.808	 47.742	  148.4	 49.248	 45.336	  5.40	  48.00	  AUTO
10:50:44	  159.3	 45.736	 47.750	  151.4	 48.908	 45.373	  5.34	  48.00	  AUTO
10:50:46	  160.9	 45.513	 47.765	  153.0	 48.711	 45.373	  5.34	  48.00	  AUTO
10:50:50	  164.0	 45.387	 47.775	  156.0	 49.134	 45.374	  5.28	  48.00	  AUTO
10:50:54	  167.5	 45.524	 47.825	  159.0	 49.334	 45.373	  5.31	  48.00	  AUTO
10:50:56	  168.9	 45.548	 47.803	  160.5	 49.309	 45.357	  5.31	  48.00	  AUTO
10:51:00	  172.4	 45.791	 47.849	  163.5	 49.204	 45.373	  5.42	  48.00	  AUTO
10:51:02	  173.8	 45.721	 47.799	  165.0	 49.184	 45.398	  5.42	  48.00	  AUTO
10:51:06	  177.1	 45.738	 47.823	  168.0	 49.180	 45.400	  5.39	  48.00	  AUTO
10:51:08	  178.5	 45.926	 47.773	  169.6	 49.134	 45.391	  5.39	  48.00	  AUTO
10:51:12	  181.9	 46.023	 47.782	  172.6	 49.077	 45.380	  5.28	  48.00	  AUTO
10:51:14	  183.3	 45.843	 47.758	  174.1	 48.997	 45.398	  5.28	  48.00	  AUTO
10:51:18	  186.6	 45.817	 47.763	  177.1	 48.847	 45.424	  5.24	  48.00	  AUTO
10:51:20	  188.0	 46.014	 47.756	  178.7	 48.847	 45.424	  5.24	  48.00	  AUTO
10:51:24	  191.4	 45.662	 47.761	  181.7	 48.847	 45.422	  5.22	  48.00	  AUTO
10:51:28	  194.4	 45.563	 47.779	  184.7	 49.131	 45.398	  5.20	  48.00	  AUTO
10:51:30	      _	      _	      _	  186.2	 49.245	 45.386	      _	  48.00	  AUTO
10:51:34	  199.1	 45.606	 47.818	  189.2	 49.276	 45.358	  5.25	  48.00	  AUTO
10:51:36	      _	      _	      _	  190.8	 49.229	 45.353	      _	  48.00	  AUTO
10:51:40	  203.9	 45.864	 47.808	  193.8	 49.202	 45.334	  5.40	  48.00	  AUTO
10:51:42	      _	      _	      _	  195.3	 49.208	 45.342	      _	  48.00	  AUTO
10:51:46	  208.6	 45.879	 47.777	  198.3	 49.109	 45.327	  5.43	  48.00	  AUTO
